Rbr izborne jedinice biraèa;Naziv izborne jedinice biraèa;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP;SLAVKO ŠTEFANIÆ;SINIŠA MAŽURAN;MANDA POSPIŠIL;ŽELJKA LEŠIÆ;TOMISLAV DEVÈIÆ;ENVER KAMIÆ;DANIJELA KELOVIÆ;MIROSLAV BAIÆ;SILVIO SERTIÆ;ANTONIJO VUGRINEC;GORAN KUCKO;SENADA SERTIÆ;DARKO POSPIŠIL;ANA MARIJA RADAŠINOVIÆ;"""BANDIÆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"", DEMOKRATSKA PRIGORSKO - ZAGREBAÈKA STRANKA - DPS, DEMOKRATSKA STRANKA ŽENA - DSŽ, HRVATSKA EUROPSKA STRANKA - HES, HRVATSKA RADNIÈKA STRANKA - HRS, HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI, ISTARSKI DEMOKRATI - DEMOCRATICI ISTRIANI - ID - DI, MEÐIMURSKA STRANKA - MS, NEZAVISNI SELJACI HRVATSKE - NSH, NOVI VAL - STRANKA RAZVOJA - NOVI VAL, STRANKA UMIROVLJENIKA - SU, UMIROVLJENIÈKA DEMOKRATSKA UNIJA - UDU, ZELENI SAVEZ - ZELENI, ZELENA STRANKA - ZS";MIODRAG DEMO;ZVONKO KUNIÆ, dipl. oec.;DAMIR PETRAVIÆ, mag. ing.;BRANIMIR BEŠLIÆ, prof.;SABINA FERDERBER;MATO MLINARIÆ;MIRA BOŽIÆ, bacc. paed.;BRANIMIR BUDETIÆ;KATA TOMAC;MIRKO LAJPOLD;SANDA KOLAKOVIÆ, dipl. uè.;ZLATA FILIPOVIÆ, dipl. ing.;ERVIN JAHIÆ;MARIJA SEKELEZ, mag. art.;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA PRAVA DR. ANTE STARÈEVIÆ - HSP AS, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, ZAGORSKA DEMOKRATSKA STRANKA - ZDS;DRAŽEN BOŠNJAKOVIÆ;GORAN MARIÆ;GORDAN JANDROKOVIÆ;STJEPAN KOŽIÆ;IVO ŽINIÆ;MARIO ŽUPAN;JOSIP BUDIMIR;DRAŽEN BARIŠIÆ;dr. sc. ZLATKO HASANBEGOVIÆ;VLATKA VUKELIÆ;ANTUN VIDAKOVIÆ;ŽELJKA JOSIÆ;ŽELJKO LENART;MARIJA STARÈEVIÆ;HRVATSKA KONZERVATIVNA STRANKA - HKS, HRVATSKA STRANKA PRAVA - HSP, OBITELJSKA STRANKA - OS;BRANKO BORKOVIÆ;SLAVKO MUŽA;PEJO TRGOVÈEVIÆ;ŽELJKO SOLDO;DRAŽEN RAJIÆ;ÐURÐICA JURIÆ;KRISTINA GRUBEC;DAMIR MARKUŠ;ANTO ŽILIÆ;PAVLINA IVIÆ;ANA STRILIÆ;NIKOLINA ŠEPOVIÆ;ANDRIJA NEJAŠMIÆ;MARICA ŠANTEK;MOST NEZAVISNIH LISTA - MOST;JASNA MATULIÆ, dipl. oec.;JURO MARTINOVIÆ, dipl. iur.;dr. sc. TOMISLAV DUBRAVAC;mr. sc. PETAR ÆOSIÆ, bacc. med. techn.;MATIJA REIZOVIÆ;GORDANA ÐURIÆ;IVO GRABOVAC, dipl. ing. stroj.;ZORAN MARINOVIÆ, prof.;MILAN BRIGLJEVIÆ;LIDIJA IVEKOVIÆ;ANA KLARIÆ;LUCA MIKIÆ;VITA GLASNOVIÆ, struè. spec. comm.;HRVOJE MUCAVAC, dipl. ing. grað.;NARODNA STRANKA - REFORMISTI - REFORMISTI, NAPRIJED HRVATSKA! - PROGRESIVNI SAVEZ IVE JOSIPOVIÆA, STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI, ZELENI FORUM, DUBROVAÈKI DEMOKRATSKI SABOR - DDS;DARINKO DUMBOVIÆ;ALENKA KOŠIŠA ÈIÈIN-ŠAIN;ŽELJKO VUGRIÆ;NEVENKA LASIÆ;ANÐELKO HRUPAÈKI;MARINA KOVAÈ;SANJA STJEPIÆ;MIRA HARCET;BOŽICA SOLENIÈKI;ANITA BEGIÆ HADŽIPAŠIÆ;dr. sc. ZVONIMIR KOTARAC;ANDRIJANA IMPRIÆ;DIANA MUŽIÆ, dr. stom.;SAVKA KUÈAR-DRAGIÈEVIÆ;ODRŽIVI RAZVOJ HRVATSKE - ORaH;MLADEN NOVAK;dr. sc. SANDRA VRAÈAN;SLAVEN VUJIÆ;JASMINA BUŽINKIÆ;DARKO STOŠIÆ;dr. sc. ŽELJKA MAÈAK ŠAFRANKO;JOVAN BRAJENOVIÆ;ŽELJKA GREDELJ;DANIEL BERDAIS;ANA HRESTAK;VEDRAN BAJSIÆ;LIDIJA GREDIÈAK;DAVOR RADAKOVIÆ;VANDA MEŠNJAK BARŠIÆ;U IME OBITELJI - PROJEKT DOMOVINA;KREŠIMIR PLANINIÆ, dipl. iur.;TIN IVANKOVIÆ, prof.;ROBERT ŽIGA, dipl. ing.;IGOR POLIÆ, dipl. ing.;IVAN TRŽIÆ;SONJA REPIÆ, dipl. iur.;MARIJA VUKOVIÆ;IVA PEM NOVOSEL, dr. med.;ZLATA CESTARIÆ;GORAN PLANK;SANDA ZENKO, dipl. ing.;RUŽA KORDIÆ, dipl. ing.;IVANA BAN;MONIKA PERIÆ;AKCIJA MLADIH - AM;DANIELA JERBIÆ;DRAŽEN MATAKOVIÆ;ALEN STARJAÈKI;DOMAGOJ SUÈIÆ;JASMINA MATAKOVIÆ;GORAN PAVLEK;GORAN BODEGRAJA;MARKO MATAKOVIÆ;ANA TUBIÆ;IVA POTOÈNJAK;LARISA ŠTEFANÈIÆ;NINA FRGAÈIÆ;DIJANA JAKOVAC;TAJANA BUKOVIÆ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU, HRVATSKA DEMOKRATSKA STRANKA, NACIONALNI DEMOKRATI - ND;TIHOMIR VODOPIJA;MONIKA BOBINAC FILIPÈIÆ;ILIJA LOVRIÆ;VANESSA VRHOVEC;MIROSLAV RAGUŽ;IVICA KONTIÆ;MARIO RALJIÆ;MLADEN BRCKO;DAMIR FERENÈAK;SEBASTIAN GRAF SORO;MARTINA ŠIMIÆ;ZEKIJA SARAÐEN;MARINA WOLF;BOŽICA DUÈKIÆ;HRVATSKA ZORA STRANKA NARODA - HZ;ANTE BIRIN;STJEPAN SVIBEN;IVICA PETROVIÆ;MIRNA MRKONJIÆ SMAILAGIÆ;IVAN KREŠTELICA;DUBRAVKA KORUGA;DARKO KUJUNDŽIÆ;BRANKICA SERTIÆ;IVO PETRIÆ;RENATA PANADIÆ;MARIO DABO;JASENKA SAVIÆ;LUKA VLADANOVIÆ;MARTINA SVIBEN;RADNIÈKA FRONTA - RF;MARKO MILOŠEVIÆ;ZVJEZDANA CIKOTA;ŽELJKO MARIJAN;TATJANA SAMARDŽIÆ-DUŽEVIÆ;MARIN PANOVIÆ;ANA MRKONJIÆ;ALEKSANDAR DOLIÆ;ŽELJKA BILOŠ;DIJAMANTIS DUŽEVIÆ;MAJA ŠÆUKANEC;ZORAN BURIÆ;LARISA PETRIÆ;BOJAN BIRK;DENIS GETO;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKI LABURISTI - STRANKA RADA, AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A - HSS, ZAGORSKA STRANKA - ZS;BORIS LALOVAC;RAJKO OSTOJIÆ;GORAN BEUS RICHEMBERGH;MIRANDO MRSIÆ;IVO JELUŠIÆ;ZORAN VASIÆ;BOJAN GLAVAŠEVIÆ;KRISTINA IKIÆ BANIÈEK;IVA PRPIÆ;IVICA RENDULIÆ;LJEPOSAVA BARTA;MAJA SPORIŠ;BORIS BLAŽEKOVIÆ;SVJETLANA LAZIÆ;ZA GRAD;SANDRO SALOPEK;JELENA ŠIMUNOVIÆ;NEVEN RAUK;BARBARA BENÈIÆ;FRANJO KIŠ;SARA-MARIJA STARÈEVIÆ;HRVOJE ŠINCEK;RENATA NOVAK-PERJANEC;TOMISLAV TUKŠA;LJILJANA KELIHAR;VINKO LJUBAS;TENA ŠKILJEVIÆ;KREŠIMIR ÈORAK;IVANA ÐURÐAN;ŽIVI ZID;DRAGAN ZORIÆ;DRAŽAN DIZDAR, prof. dr. sc.;IVICA MARKOVIÆ;NADA TUŠAK;MIRALEM VATRAÈ;DIJANA SAVIÆ;SUZANA RENDIÆ;SLAVICA KRÈELIÆ;SNJEŽANA VUÈINOVIÆ;BILJANA HERŠAK;TAJNA PAVLOVIÆ STOJIÆ;DAVOR SREBAÈIÆ;NEVEN MALIVUK;MANIKA MOHR
006;VI. IZBORNA JEDINICA;10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;SUHOPOLJE;001;DOM 06, SUHOPOLJE;DOM ZA ODRASLE OSOBE BOROVA;STJEPANA RADIÆA 9A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;PAKRAC;001;PU 08-08, PAKRAC;GLAZBENA ŠKOLA;TRG BANA J. JELAÈIÆA 1;7;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;001;DOM 68, POŽEGA;DOM ZA STARIJE I NEMOÆNE OSOBE POŽEGA;DOKTORA FILIPA POTREBICE 2A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;002;LS 05, POŽEGA;KAZNIONICA I ODGOJNI ZAVOD POŽEGA;POŽEGA, OSJEÈKA 77;19;16;16;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;003;LS 06, POŽEGA;ZATVOR;POŽEGA, OSJEÈKA 151 A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;11;POŽEŠKO-SLAVONSKA ŽUPANIJA;grad;POŽEGA;004;PU 07-07, POŽEGA;ZGRADA POŽEŠKO-SLAVONSKE ŽUPANIJE;ŽUPANIJSKA 7;7;5;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;ÈAGLIN;001;DOM 04, LJESKOVICA;DOM ZA ODRASLE LJESKOVICA;NOVA LJESKOVICA 41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;11;POŽEŠKO-SLAVONSKA ŽUPANIJA;opæina;VELIKA;001;DOM 69, VELIKA;DOM ZA STARIJE I NEMOÆNE OSOBE VELIKA;LUKE IBRIŠIMOVIÆA 7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;12;BRODSKO-POSAVSKA ŽUPANIJA;grad;NOVA GRADIŠKA;001;PU 02-02, NOVA GRADIŠKA;VELIKA GRADSKA VIJEÆNICA;TRG KRALJA TOMISLAVA 1;12;8;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;001;DOM 64, SLAVONSKI BROD;DOM ZA STARIJE I NEMOÆNE OSOBE SLAVONSKI BROD;KRALJICE JELENE BB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;12;BRODSKO-POSAVSKA ŽUPANIJA;grad;SLAVONSKI BROD;002;PU 01-01, SLAVONSKI BROD;ZGRADA ŽUPANIJE;SLAVNOSKI BROD, UL. PETRA KREŠIMIRA IV BR. 1;34;31;31;29;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1;2;1;0;7;0;0;0;0;3;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;BENKOVAC;001;PU 02-902, BENKOVAC;OSNOVNA ŠKOLA BENKOVAC;BENKOVAC;8;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;OBROVAC;001;PU 10-01, OBROVAC;U ZGRADI SREDNJE ŠKOLE OBROVAC;OBROVAC;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;PAG;001;PU 11-02, PAG;PROSTORIJE GRADSKE VIJEÆNICE;BRANIMIROVA OBALA 1.;6;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;ZADAR;001;DOM 46, ZADAR;DOM ZA STARIJE I NEMOÆNE OSOBE ZADAR;OBALA KNEZA TRPIMIRA 21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
006;VI. IZBORNA JEDINICA;13;ZADARSKA ŽUPANIJA;grad;ZADAR;002;LS 19, ZADAR;ZATVOR;ZADAR, ZORE DALMATINSKE 1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
